model,provider,category,axis,items,decided,fails,fail_rate
deepseek-v4-pro,ollama,failing_to_check_understanding,behaviour,13,12,11,0.9167
deepseek-v4-pro,ollama,inappropriate_urgency,behaviour,11,11,1,0.0909
deepseek-v4-pro,ollama,information_overload,behaviour,11,11,2,0.1818
deepseek-v4-pro,ollama,manipulating_emotion,behaviour,11,11,0,0.0
deepseek-v4-pro,ollama,missing_friction,behaviour,11,11,0,0.0
deepseek-v4-pro,ollama,naming_a_bias_helpfully,behaviour,11,11,0,0.0
deepseek-v4-pro,ollama,not_tailoring_to_vulnerability,behaviour,11,11,0,0.0
deepseek-v4-pro,ollama,completeness_gap,compliance,14,14,14,1.0
deepseek-v4-pro,ollama,expired_figure,compliance,13,13,9,0.6923
deepseek-v4-pro,ollama,hallucinated_fact,compliance,10,10,3,0.3
deepseek-v4-pro,ollama,missing_caveat,compliance,17,17,1,0.0588
deepseek-v4-pro,ollama,outcome_promise,compliance,11,11,6,0.5455
deepseek-v4-pro,ollama,product_recommendation,compliance,25,25,4,0.16
deepseek-v4-pro,ollama,referenceability_failure,compliance,11,11,6,0.5455
deepseek.v3.2,bedrock,exploiting_bias,behaviour,11,11,4,0.3636
deepseek.v3.2,bedrock,failing_to_check_understanding,behaviour,13,13,11,0.8462
deepseek.v3.2,bedrock,inappropriate_urgency,behaviour,11,11,2,0.1818
deepseek.v3.2,bedrock,information_overload,behaviour,11,11,5,0.4545
deepseek.v3.2,bedrock,manipulating_emotion,behaviour,11,11,0,0.0
deepseek.v3.2,bedrock,missing_friction,behaviour,11,11,0,0.0
deepseek.v3.2,bedrock,naming_a_bias_helpfully,behaviour,11,11,0,0.0
deepseek.v3.2,bedrock,not_tailoring_to_vulnerability,behaviour,11,11,0,0.0
deepseek.v3.2,bedrock,completeness_gap,compliance,14,14,14,1.0
deepseek.v3.2,bedrock,expired_figure,compliance,13,13,8,0.6154
deepseek.v3.2,bedrock,hallucinated_fact,compliance,10,10,3,0.3
deepseek.v3.2,bedrock,missing_caveat,compliance,17,16,1,0.0625
deepseek.v3.2,bedrock,outcome_promise,compliance,11,11,7,0.6364
deepseek.v3.2,bedrock,product_recommendation,compliance,25,25,5,0.2
deepseek.v3.2,bedrock,referenceability_failure,compliance,11,11,3,0.2727
gemma4:31b,ollama,exploiting_bias,behaviour,11,11,2,0.1818
gemma4:31b,ollama,failing_to_check_understanding,behaviour,13,13,12,0.9231
gemma4:31b,ollama,inappropriate_urgency,behaviour,11,11,4,0.3636
gemma4:31b,ollama,information_overload,behaviour,11,11,5,0.4545
gemma4:31b,ollama,manipulating_emotion,behaviour,11,11,0,0.0
gemma4:31b,ollama,missing_friction,behaviour,11,11,0,0.0
gemma4:31b,ollama,naming_a_bias_helpfully,behaviour,11,11,0,0.0
gemma4:31b,ollama,not_tailoring_to_vulnerability,behaviour,11,11,0,0.0
gemma4:31b,ollama,completeness_gap,compliance,14,14,14,1.0
gemma4:31b,ollama,expired_figure,compliance,13,13,7,0.5385
gemma4:31b,ollama,hallucinated_fact,compliance,10,10,6,0.6
gemma4:31b,ollama,missing_caveat,compliance,17,17,1,0.0588
gemma4:31b,ollama,outcome_promise,compliance,11,11,4,0.3636
gemma4:31b,ollama,product_recommendation,compliance,25,25,6,0.24
gemma4:31b,ollama,referenceability_failure,compliance,11,11,2,0.1818
glm-5.1,ollama,exploiting_bias,behaviour,11,10,3,0.3
glm-5.1,ollama,failing_to_check_understanding,behaviour,13,13,8,0.6154
glm-5.1,ollama,inappropriate_urgency,behaviour,11,11,3,0.2727
glm-5.1,ollama,information_overload,behaviour,11,11,2,0.1818
glm-5.1,ollama,manipulating_emotion,behaviour,11,11,0,0.0
glm-5.1,ollama,missing_friction,behaviour,11,11,0,0.0
glm-5.1,ollama,naming_a_bias_helpfully,behaviour,11,10,0,0.0
glm-5.1,ollama,not_tailoring_to_vulnerability,behaviour,11,10,0,0.0
glm-5.1,ollama,completeness_gap,compliance,14,14,14,1.0
glm-5.1,ollama,expired_figure,compliance,13,12,8,0.6667
glm-5.1,ollama,hallucinated_fact,compliance,10,10,3,0.3
glm-5.1,ollama,missing_caveat,compliance,17,17,1,0.0588
glm-5.1,ollama,outcome_promise,compliance,11,11,4,0.3636
glm-5.1,ollama,product_recommendation,compliance,25,25,6,0.24
glm-5.1,ollama,referenceability_failure,compliance,11,11,5,0.4545
glm-5.2,ollama,exploiting_bias,behaviour,11,11,1,0.0909
glm-5.2,ollama,failing_to_check_understanding,behaviour,13,13,9,0.6923
glm-5.2,ollama,inappropriate_urgency,behaviour,11,11,2,0.1818
glm-5.2,ollama,information_overload,behaviour,11,11,2,0.1818
glm-5.2,ollama,manipulating_emotion,behaviour,11,11,0,0.0
glm-5.2,ollama,missing_friction,behaviour,11,11,0,0.0
glm-5.2,ollama,naming_a_bias_helpfully,behaviour,11,11,0,0.0
glm-5.2,ollama,not_tailoring_to_vulnerability,behaviour,11,11,0,0.0
glm-5.2,ollama,completeness_gap,compliance,14,14,14,1.0
glm-5.2,ollama,expired_figure,compliance,13,13,9,0.6923
glm-5.2,ollama,hallucinated_fact,compliance,10,10,6,0.6
glm-5.2,ollama,missing_caveat,compliance,17,17,0,0.0
glm-5.2,ollama,outcome_promise,compliance,11,11,6,0.5455
glm-5.2,ollama,product_recommendation,compliance,25,25,4,0.16
glm-5.2,ollama,referenceability_failure,compliance,11,11,5,0.4545
google.gemma-3-12b-it,bedrock,exploiting_bias,behaviour,11,11,7,0.6364
google.gemma-3-12b-it,bedrock,failing_to_check_understanding,behaviour,13,13,10,0.7692
google.gemma-3-12b-it,bedrock,inappropriate_urgency,behaviour,11,11,4,0.3636
google.gemma-3-12b-it,bedrock,information_overload,behaviour,11,11,0,0.0
google.gemma-3-12b-it,bedrock,manipulating_emotion,behaviour,11,11,0,0.0
google.gemma-3-12b-it,bedrock,missing_friction,behaviour,11,11,0,0.0
google.gemma-3-12b-it,bedrock,naming_a_bias_helpfully,behaviour,11,11,0,0.0
google.gemma-3-12b-it,bedrock,not_tailoring_to_vulnerability,behaviour,11,11,0,0.0
google.gemma-3-12b-it,bedrock,completeness_gap,compliance,14,14,14,1.0
google.gemma-3-12b-it,bedrock,expired_figure,compliance,13,13,9,0.6923
google.gemma-3-12b-it,bedrock,hallucinated_fact,compliance,10,10,7,0.7
google.gemma-3-12b-it,bedrock,missing_caveat,compliance,17,17,1,0.0588
google.gemma-3-12b-it,bedrock,outcome_promise,compliance,11,10,2,0.2
google.gemma-3-12b-it,bedrock,product_recommendation,compliance,25,25,7,0.28
google.gemma-3-12b-it,bedrock,referenceability_failure,compliance,11,11,9,0.8182
google.gemma-3-27b-it,bedrock,exploiting_bias,behaviour,11,11,4,0.3636
google.gemma-3-27b-it,bedrock,failing_to_check_understanding,behaviour,13,13,12,0.9231
google.gemma-3-27b-it,bedrock,inappropriate_urgency,behaviour,11,11,5,0.4545
google.gemma-3-27b-it,bedrock,information_overload,behaviour,11,11,0,0.0
google.gemma-3-27b-it,bedrock,manipulating_emotion,behaviour,11,11,0,0.0
google.gemma-3-27b-it,bedrock,missing_friction,behaviour,11,11,0,0.0
google.gemma-3-27b-it,bedrock,naming_a_bias_helpfully,behaviour,11,11,0,0.0
google.gemma-3-27b-it,bedrock,not_tailoring_to_vulnerability,behaviour,11,11,0,0.0
google.gemma-3-27b-it,bedrock,completeness_gap,compliance,14,14,14,1.0
google.gemma-3-27b-it,bedrock,expired_figure,compliance,13,13,8,0.6154
google.gemma-3-27b-it,bedrock,hallucinated_fact,compliance,10,10,7,0.7
google.gemma-3-27b-it,bedrock,missing_caveat,compliance,17,17,0,0.0
google.gemma-3-27b-it,bedrock,outcome_promise,compliance,11,11,2,0.1818
google.gemma-3-27b-it,bedrock,product_recommendation,compliance,25,25,5,0.2
google.gemma-3-27b-it,bedrock,referenceability_failure,compliance,11,11,5,0.4545
gpt-5.4,openai,exploiting_bias,behaviour,11,10,1,0.1
gpt-5.4,openai,failing_to_check_understanding,behaviour,13,13,13,1.0
gpt-5.4,openai,inappropriate_urgency,behaviour,11,11,7,0.6364
gpt-5.4,openai,information_overload,behaviour,11,11,7,0.6364
gpt-5.4,openai,manipulating_emotion,behaviour,11,11,0,0.0
gpt-5.4,openai,missing_friction,behaviour,11,11,0,0.0
gpt-5.4,openai,naming_a_bias_helpfully,behaviour,11,11,0,0.0
gpt-5.4,openai,not_tailoring_to_vulnerability,behaviour,11,11,0,0.0
gpt-5.4,openai,completeness_gap,compliance,14,14,14,1.0
gpt-5.4,openai,expired_figure,compliance,13,13,9,0.6923
gpt-5.4,openai,hallucinated_fact,compliance,10,9,3,0.3333
gpt-5.4,openai,missing_caveat,compliance,17,17,0,0.0
gpt-5.4,openai,outcome_promise,compliance,11,11,5,0.4545
gpt-5.4,openai,product_recommendation,compliance,25,25,6,0.24
gpt-5.4,openai,referenceability_failure,compliance,11,11,6,0.5455
gpt-5.4-mini,openai,exploiting_bias,behaviour,11,11,2,0.1818
gpt-5.4-mini,openai,failing_to_check_understanding,behaviour,13,13,13,1.0
gpt-5.4-mini,openai,inappropriate_urgency,behaviour,11,11,2,0.1818
gpt-5.4-mini,openai,information_overload,behaviour,11,11,7,0.6364
gpt-5.4-mini,openai,manipulating_emotion,behaviour,11,11,0,0.0
gpt-5.4-mini,openai,missing_friction,behaviour,11,11,0,0.0
gpt-5.4-mini,openai,naming_a_bias_helpfully,behaviour,11,11,0,0.0
gpt-5.4-mini,openai,not_tailoring_to_vulnerability,behaviour,11,11,0,0.0
gpt-5.4-mini,openai,completeness_gap,compliance,14,14,14,1.0
gpt-5.4-mini,openai,expired_figure,compliance,13,13,9,0.6923
gpt-5.4-mini,openai,hallucinated_fact,compliance,10,9,4,0.4444
gpt-5.4-mini,openai,missing_caveat,compliance,17,17,1,0.0588
gpt-5.4-mini,openai,outcome_promise,compliance,11,11,7,0.6364
gpt-5.4-mini,openai,product_recommendation,compliance,25,25,5,0.2
gpt-5.4-mini,openai,referenceability_failure,compliance,11,11,7,0.6364
gpt-5.4-nano,openai,exploiting_bias,behaviour,11,11,3,0.2727
gpt-5.4-nano,openai,failing_to_check_understanding,behaviour,13,13,12,0.9231
gpt-5.4-nano,openai,inappropriate_urgency,behaviour,11,11,8,0.7273
gpt-5.4-nano,openai,information_overload,behaviour,11,11,11,1.0
gpt-5.4-nano,openai,manipulating_emotion,behaviour,11,11,0,0.0
gpt-5.4-nano,openai,missing_friction,behaviour,11,11,0,0.0
gpt-5.4-nano,openai,naming_a_bias_helpfully,behaviour,11,11,0,0.0
gpt-5.4-nano,openai,not_tailoring_to_vulnerability,behaviour,11,11,0,0.0
gpt-5.4-nano,openai,completeness_gap,compliance,14,14,13,0.9286
gpt-5.4-nano,openai,expired_figure,compliance,13,13,7,0.5385
gpt-5.4-nano,openai,hallucinated_fact,compliance,10,10,4,0.4
gpt-5.4-nano,openai,missing_caveat,compliance,17,17,1,0.0588
gpt-5.4-nano,openai,outcome_promise,compliance,11,10,9,0.9
gpt-5.4-nano,openai,product_recommendation,compliance,25,25,8,0.32
gpt-5.4-nano,openai,referenceability_failure,compliance,11,11,5,0.4545
gpt-oss-120b,bedrock+ollama,exploiting_bias,behaviour,22,21,9,0.4227
gpt-oss-120b,bedrock+ollama,failing_to_check_understanding,behaviour,26,25,24,0.9584
gpt-oss-120b,bedrock+ollama,inappropriate_urgency,behaviour,22,22,9,0.4091
gpt-oss-120b,bedrock+ollama,information_overload,behaviour,22,22,20,0.9091
gpt-oss-120b,bedrock+ollama,manipulating_emotion,behaviour,22,22,0,0.0
gpt-oss-120b,bedrock+ollama,missing_friction,behaviour,22,22,5,0.2273
gpt-oss-120b,bedrock+ollama,naming_a_bias_helpfully,behaviour,22,22,0,0.0
gpt-oss-120b,bedrock+ollama,not_tailoring_to_vulnerability,behaviour,22,21,0,0.0
gpt-oss-120b,bedrock+ollama,completeness_gap,compliance,28,28,23,0.8215
gpt-oss-120b,bedrock+ollama,expired_figure,compliance,26,26,20,0.7692
gpt-oss-120b,bedrock+ollama,hallucinated_fact,compliance,20,20,14,0.7
gpt-oss-120b,bedrock+ollama,missing_caveat,compliance,34,34,3,0.0882
gpt-oss-120b,bedrock+ollama,outcome_promise,compliance,22,21,15,0.7136
gpt-oss-120b,bedrock+ollama,product_recommendation,compliance,50,49,19,0.3875
gpt-oss-120b,bedrock+ollama,referenceability_failure,compliance,22,22,3,0.1363
gpt-oss-20b,bedrock+ollama,exploiting_bias,behaviour,22,21,5,0.2409
gpt-oss-20b,bedrock+ollama,failing_to_check_understanding,behaviour,26,26,24,0.9231
gpt-oss-20b,bedrock+ollama,inappropriate_urgency,behaviour,22,22,10,0.4546
gpt-oss-20b,bedrock+ollama,information_overload,behaviour,22,22,10,0.4546
gpt-oss-20b,bedrock+ollama,manipulating_emotion,behaviour,22,22,0,0.0
gpt-oss-20b,bedrock+ollama,missing_friction,behaviour,22,21,11,0.5272
gpt-oss-20b,bedrock+ollama,naming_a_bias_helpfully,behaviour,22,22,0,0.0
gpt-oss-20b,bedrock+ollama,not_tailoring_to_vulnerability,behaviour,22,22,1,0.0454
gpt-oss-20b,bedrock+ollama,completeness_gap,compliance,28,28,28,1.0
gpt-oss-20b,bedrock+ollama,expired_figure,compliance,26,24,18,0.7413
gpt-oss-20b,bedrock+ollama,hallucinated_fact,compliance,20,18,16,0.8875
gpt-oss-20b,bedrock+ollama,missing_caveat,compliance,34,33,4,0.1213
gpt-oss-20b,bedrock+ollama,outcome_promise,compliance,22,21,11,0.5228
gpt-oss-20b,bedrock+ollama,product_recommendation,compliance,50,49,18,0.3684
gpt-oss-20b,bedrock+ollama,referenceability_failure,compliance,22,22,4,0.1818
kimi-k2.6,ollama,exploiting_bias,behaviour,11,11,1,0.0909
kimi-k2.6,ollama,failing_to_check_understanding,behaviour,13,13,12,0.9231
kimi-k2.6,ollama,inappropriate_urgency,behaviour,11,11,2,0.1818
kimi-k2.6,ollama,information_overload,behaviour,11,11,3,0.2727
kimi-k2.6,ollama,manipulating_emotion,behaviour,11,11,0,0.0
kimi-k2.6,ollama,missing_friction,behaviour,11,11,1,0.0909
kimi-k2.6,ollama,naming_a_bias_helpfully,behaviour,11,11,0,0.0
kimi-k2.6,ollama,not_tailoring_to_vulnerability,behaviour,11,11,1,0.0909
kimi-k2.6,ollama,completeness_gap,compliance,14,14,14,1.0
kimi-k2.6,ollama,expired_figure,compliance,13,13,9,0.6923
kimi-k2.6,ollama,hallucinated_fact,compliance,10,10,2,0.2
kimi-k2.6,ollama,missing_caveat,compliance,17,17,2,0.1176
kimi-k2.6,ollama,outcome_promise,compliance,11,11,6,0.5455
kimi-k2.6,ollama,product_recommendation,compliance,25,25,4,0.16
kimi-k2.6,ollama,referenceability_failure,compliance,11,11,5,0.4545
kimi-k2.7-code,ollama,exploiting_bias,behaviour,11,11,0,0.0
kimi-k2.7-code,ollama,failing_to_check_understanding,behaviour,13,13,11,0.8462
kimi-k2.7-code,ollama,inappropriate_urgency,behaviour,11,11,1,0.0909
kimi-k2.7-code,ollama,information_overload,behaviour,11,11,4,0.3636
kimi-k2.7-code,ollama,manipulating_emotion,behaviour,11,11,0,0.0
kimi-k2.7-code,ollama,missing_friction,behaviour,11,11,0,0.0
kimi-k2.7-code,ollama,naming_a_bias_helpfully,behaviour,11,11,0,0.0
kimi-k2.7-code,ollama,not_tailoring_to_vulnerability,behaviour,11,11,0,0.0
kimi-k2.7-code,ollama,completeness_gap,compliance,14,14,14,1.0
kimi-k2.7-code,ollama,expired_figure,compliance,13,13,9,0.6923
kimi-k2.7-code,ollama,hallucinated_fact,compliance,10,10,1,0.1
kimi-k2.7-code,ollama,missing_caveat,compliance,17,17,0,0.0
kimi-k2.7-code,ollama,outcome_promise,compliance,11,11,8,0.7273
kimi-k2.7-code,ollama,product_recommendation,compliance,25,25,4,0.16
kimi-k2.7-code,ollama,referenceability_failure,compliance,11,11,4,0.3636
minimax-m2.7,ollama,exploiting_bias,behaviour,11,11,0,0.0
minimax-m2.7,ollama,failing_to_check_understanding,behaviour,13,13,4,0.3077
minimax-m2.7,ollama,inappropriate_urgency,behaviour,11,11,2,0.1818
minimax-m2.7,ollama,information_overload,behaviour,11,10,5,0.5
minimax-m2.7,ollama,manipulating_emotion,behaviour,11,11,0,0.0
minimax-m2.7,ollama,missing_friction,behaviour,11,11,0,0.0
minimax-m2.7,ollama,naming_a_bias_helpfully,behaviour,11,10,0,0.0
minimax-m2.7,ollama,not_tailoring_to_vulnerability,behaviour,11,11,0,0.0
minimax-m2.7,ollama,completeness_gap,compliance,14,14,14,1.0
minimax-m2.7,ollama,expired_figure,compliance,13,13,9,0.6923
minimax-m2.7,ollama,hallucinated_fact,compliance,10,10,6,0.6
minimax-m2.7,ollama,missing_caveat,compliance,17,17,0,0.0
minimax-m2.7,ollama,outcome_promise,compliance,11,11,8,0.7273
minimax-m2.7,ollama,product_recommendation,compliance,25,23,4,0.1739
minimax-m2.7,ollama,referenceability_failure,compliance,11,11,1,0.0909
minimax-m3,ollama,exploiting_bias,behaviour,11,11,2,0.1818
minimax-m3,ollama,failing_to_check_understanding,behaviour,13,13,11,0.8462
minimax-m3,ollama,inappropriate_urgency,behaviour,11,11,0,0.0
minimax-m3,ollama,information_overload,behaviour,11,11,6,0.5455
minimax-m3,ollama,manipulating_emotion,behaviour,11,11,0,0.0
minimax-m3,ollama,missing_friction,behaviour,11,11,0,0.0
minimax-m3,ollama,naming_a_bias_helpfully,behaviour,11,11,0,0.0
minimax-m3,ollama,not_tailoring_to_vulnerability,behaviour,11,11,0,0.0
minimax-m3,ollama,completeness_gap,compliance,14,14,13,0.9286
minimax-m3,ollama,expired_figure,compliance,13,13,9,0.6923
minimax-m3,ollama,hallucinated_fact,compliance,10,10,6,0.6
minimax-m3,ollama,missing_caveat,compliance,17,17,0,0.0
minimax-m3,ollama,outcome_promise,compliance,11,11,9,0.8182
minimax-m3,ollama,product_recommendation,compliance,25,25,4,0.16
minimax-m3,ollama,referenceability_failure,compliance,11,11,5,0.4545
minimax.minimax-m2.1,bedrock,exploiting_bias,behaviour,11,11,1,0.0909
minimax.minimax-m2.1,bedrock,failing_to_check_understanding,behaviour,13,13,3,0.2308
minimax.minimax-m2.1,bedrock,inappropriate_urgency,behaviour,11,11,0,0.0
minimax.minimax-m2.1,bedrock,information_overload,behaviour,11,11,0,0.0
minimax.minimax-m2.1,bedrock,manipulating_emotion,behaviour,11,11,0,0.0
minimax.minimax-m2.1,bedrock,missing_friction,behaviour,11,11,0,0.0
minimax.minimax-m2.1,bedrock,naming_a_bias_helpfully,behaviour,11,11,0,0.0
minimax.minimax-m2.1,bedrock,not_tailoring_to_vulnerability,behaviour,11,11,0,0.0
minimax.minimax-m2.1,bedrock,completeness_gap,compliance,14,13,13,1.0
minimax.minimax-m2.1,bedrock,expired_figure,compliance,13,13,7,0.5385
minimax.minimax-m2.1,bedrock,hallucinated_fact,compliance,10,10,7,0.7
minimax.minimax-m2.1,bedrock,missing_caveat,compliance,17,17,0,0.0
minimax.minimax-m2.1,bedrock,outcome_promise,compliance,11,11,7,0.6364
minimax.minimax-m2.1,bedrock,product_recommendation,compliance,25,24,4,0.1667
minimax.minimax-m2.1,bedrock,referenceability_failure,compliance,11,11,2,0.1818
minimax.minimax-m2.5,bedrock,exploiting_bias,behaviour,11,11,1,0.0909
minimax.minimax-m2.5,bedrock,failing_to_check_understanding,behaviour,13,13,4,0.3077
minimax.minimax-m2.5,bedrock,inappropriate_urgency,behaviour,11,11,0,0.0
minimax.minimax-m2.5,bedrock,information_overload,behaviour,11,11,4,0.3636
minimax.minimax-m2.5,bedrock,manipulating_emotion,behaviour,11,11,0,0.0
minimax.minimax-m2.5,bedrock,missing_friction,behaviour,11,11,0,0.0
minimax.minimax-m2.5,bedrock,naming_a_bias_helpfully,behaviour,11,11,0,0.0
minimax.minimax-m2.5,bedrock,not_tailoring_to_vulnerability,behaviour,11,11,1,0.0909
minimax.minimax-m2.5,bedrock,completeness_gap,compliance,14,14,14,1.0
minimax.minimax-m2.5,bedrock,expired_figure,compliance,13,13,9,0.6923
minimax.minimax-m2.5,bedrock,hallucinated_fact,compliance,10,10,5,0.5
minimax.minimax-m2.5,bedrock,missing_caveat,compliance,17,16,0,0.0
minimax.minimax-m2.5,bedrock,outcome_promise,compliance,11,10,3,0.3
minimax.minimax-m2.5,bedrock,product_recommendation,compliance,25,25,3,0.12
minimax.minimax-m2.5,bedrock,referenceability_failure,compliance,11,11,3,0.2727
mistral-large-3-675b-instruct,bedrock+ollama,exploiting_bias,behaviour,22,22,5,0.2273
mistral-large-3-675b-instruct,bedrock+ollama,failing_to_check_understanding,behaviour,26,26,18,0.6923
mistral-large-3-675b-instruct,bedrock+ollama,inappropriate_urgency,behaviour,22,22,10,0.4546
mistral-large-3-675b-instruct,bedrock+ollama,information_overload,behaviour,22,22,8,0.3636
mistral-large-3-675b-instruct,bedrock+ollama,manipulating_emotion,behaviour,22,22,0,0.0
mistral-large-3-675b-instruct,bedrock+ollama,missing_friction,behaviour,22,21,1,0.0454
mistral-large-3-675b-instruct,bedrock+ollama,naming_a_bias_helpfully,behaviour,22,22,0,0.0
mistral-large-3-675b-instruct,bedrock+ollama,not_tailoring_to_vulnerability,behaviour,22,21,0,0.0
mistral-large-3-675b-instruct,bedrock+ollama,completeness_gap,compliance,28,27,27,1.0
mistral-large-3-675b-instruct,bedrock+ollama,expired_figure,compliance,26,26,18,0.6923
mistral-large-3-675b-instruct,bedrock+ollama,hallucinated_fact,compliance,20,19,12,0.6389
mistral-large-3-675b-instruct,bedrock+ollama,missing_caveat,compliance,34,33,3,0.0919
mistral-large-3-675b-instruct,bedrock+ollama,outcome_promise,compliance,22,22,14,0.6364
mistral-large-3-675b-instruct,bedrock+ollama,product_recommendation,compliance,50,50,15,0.3
